page,impr_prev,impr_cur,pos_prev,pos_cur,has_price_table,word_count,faq
/gevelisolatie/,627,574,19.29,15.49,False,2812,12
/gevelisolatie/kosten/,456,285,18.53,25.45,False,1445,10
/gevelisolatie/afwerkingen/,163,202,23.45,11.11,,,
/buiten-stucwerk/,1078,782,12.1,13.47,True,2228,10
/sierpleister/,306,231,24.03,21.62,False,2536,10
/muren-stucen/,1434,1446,38.65,35.1,False,1790,10
/gevel-schilderen/,407,463,34.45,37.02,,,
