cluster,query,expected_bm_page,bm_position,bm_url,top10_aggregator,top10_contractor,top10_media,top10_retail,top10_gov,top_nonagg_domain,top_nonagg_url,top_nonagg_type,top_nonagg_pos,serp_features
buiten_stucwerk,buitenmuur stucen,/buiten-stucwerk/,,,1,6,1,2,0,www.vtwonen.nl,https://www.vtwonen.nl/verbouwen/zelf-buitenmuur-stucen-tips~d29cf75,media_costguide,5,ai_overview|images|people_also_ask|people_also_search|related_searches|short_videos|video
buiten_stucwerk,buitenmuur stucen kosten,/buiten-stucwerk/,,,4,6,0,0,0,multiconcurrent.nl,https://multiconcurrent.nl/stukadoorsbedrijf/kosten-buitenmuur-stucen/,contractor,4,featured_snippet|images|people_also_ask|people_also_search|related_searches
buiten_stucwerk,buitenmuur stucen nadelen,/buiten-stucwerk/,,,2,8,0,0,0,www.040stucadoor.nl,https://www.040stucadoor.nl/buitenmuur-stucen/,contractor,2,ai_overview|images|people_also_ask|people_also_search|related_searches
buiten_stucwerk,buitenstucwerk,/buiten-stucwerk/,,,1,7,2,0,0,www.stuc-gigant.nl,https://www.stuc-gigant.nl/buiten/,contractor,2,ai_overview|images|people_also_ask|related_searches|video
buiten_stucwerk,gevel stucen,/buiten-stucwerk/,,,1,7,1,1,0,www.vtwonen.nl,https://www.vtwonen.nl/verbouwen/zelf-buitenmuur-stucen-tips~d29cf75,media_costguide,3,images|people_also_ask|people_also_search|related_searches|video
buiten_stucwerk,stucen gevel,/buiten-stucwerk/,,,1,8,1,0,0,www.stucadoor-expert.nl,https://www.stucadoor-expert.nl/buitenmuur-stucen/,contractor,1,images|people_also_ask|people_also_search|related_searches|video
sierpleister,gevel sierpleister,/sierpleister/,22,https://bm-klus-bv.nl/sierpleister/,0,7,3,0,0,gevelisolatiestore.nl,https://gevelisolatiestore.nl/sierpleister/,contractor,1,images|people_also_ask|popular_products|related_searches
sierpleister,sierpleister,/sierpleister/,,,1,6,2,1,0,vanginkelstukadoors.nl,https://vanginkelstukadoors.nl/sierpleister-welke-soorten-zijn-er-en-welke-past-bij-uw-woning/,contractor,1,images|people_also_ask|popular_products|related_searches|video
sierpleister,sierpleister buitengevel,/sierpleister/,,,0,7,2,1,0,gevelisolatiestore.nl,https://gevelisolatiestore.nl/sierpleister/,contractor,1,images|people_also_ask|popular_products|related_searches
sierpleister,sierpleister prijs,/sierpleister/,,,2,7,1,0,0,www.stucadoorsproducten.nl,https://www.stucadoorsproducten.nl/c-3761816/sierpleisters/,contractor,6,featured_snippet|people_also_ask|popular_products|related_searches
