landing_page_raw,normalized_path,session_default_channel_group,sessions,engaged_sessions,engagement_rate,avg_session_duration_seconds,mapped_route_guess,mapped_page_type_guess
(not set),(not set),Organic Search,60,1,0.0167,27.2,,
(not set),(not set),Paid Search,17,0,0.0,0.0,,
(not set),(not set),Referral,14,0,0.0,0.0,,
(not set),(not set),Direct,3,0,0.0,2.3,,
(not set),(not set),Unassigned,2,0,0.0,12.0,,
/,/,Organic Search,223,142,0.6368,579.2,/,home
/,/,Direct,52,47,0.9038,310.7,/,home
/,/,Referral,20,10,0.5,1396.8,/,home
/,/,Paid Search,5,5,1.0,1238.8,/,home
/,/,Unassigned,2,2,1.0,812.9,/,home
/,/,Organic Social,1,0,0.0,1.0,/,home
/,/,Organic Video,1,0,0.0,9.4,/,home
/?%3F%3F=,/,Direct,1,1,1.0,31.3,/,home
/?gtm_debug=1772895787448,/,Referral,1,1,1.0,825.5,/,home
/?gtm_debug=1773388710825,/,Referral,1,1,1.0,1007.9,/,home
/?gtm_debug=1773611253255,/,Referral,1,1,1.0,530.0,/,home
/?gtm_debug=1773612414222,/,Referral,1,1,1.0,332.5,/,home
/?gtm_debug=1775230122461,/,Referral,1,0,0.0,4.7,/,home
/?gtm_debug=1775233878924,/,Referral,1,1,1.0,1652.6,/,home
/?ved=2ahUKEwjq4a37qv6SAxWX2AIHHcH7IVYQgU96BQi0ARAO,/,Organic Search,1,0,0.0,6.1,/,home
//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,Organic Search,1,1,1.0,857.4,,
/buiten-stucwerk/,/buiten-stucwerk/,Organic Search,25,13,0.52,199.3,/buiten-stucwerk/,service
/buiten-stucwerk/,/buiten-stucwerk/,Paid Search,12,7,0.5833,192.2,/buiten-stucwerk/,service
/buiten-stucwerk/,/buiten-stucwerk/,Direct,2,1,0.5,620.4,/buiten-stucwerk/,service
/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,Organic Search,2,1,0.5,52.2,,
/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,Referral,1,0,0.0,0.0,,
/contact/,/contact/,Organic Search,6,3,0.5,747.6,/contact/,utility
/contact/,/contact/,Direct,2,1,0.5,258.2,/contact/,utility
/contact/,/contact/,Paid Search,1,0,0.0,6.4,/contact/,utility
/contact/,/contact/,Referral,1,1,1.0,572.0,/contact/,utility
/diensten/,/diensten/,Organic Search,4,4,1.0,595.9,/diensten/,service
/diensten/,/diensten/,Referral,4,2,0.5,432.6,/diensten/,service
/diensten/,/diensten/,Paid Search,1,1,1.0,1295.4,/diensten/,service
/gevel-schilderen/,/gevel-schilderen/,Organic Search,14,7,0.5,246.1,/gevel-schilderen/,service
/gevel-schilderen/,/gevel-schilderen/,Referral,5,3,0.6,143.6,/gevel-schilderen/,service
/gevel-schilderen/,/gevel-schilderen/,Direct,2,2,1.0,3257.2,/gevel-schilderen/,service
/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,Referral,1,1,1.0,1327.8,,
/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,Direct,1,0,0.0,3.5,,
/gevelisolatie/,/gevelisolatie/,Paid Search,147,104,0.7075,161.8,/gevelisolatie/,service
/gevelisolatie/,/gevelisolatie/,Organic Search,53,35,0.6604,536.1,/gevelisolatie/,service
/gevelisolatie/,/gevelisolatie/,Referral,10,8,0.8,378.4,/gevelisolatie/,service
/gevelisolatie/,/gevelisolatie/,Direct,8,3,0.375,223.8,/gevelisolatie/,service
/gevelisolatie/,/gevelisolatie/,Cross-network,2,2,1.0,130.3,/gevelisolatie/,service
/gevelisolatie/,/gevelisolatie/,Unassigned,2,1,0.5,23.3,/gevelisolatie/,service
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,Paid Search,81,51,0.6296,181.9,/gevelisolatie/afwerkingen/,cluster
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,Organic Search,3,2,0.6667,694.4,/gevelisolatie/afwerkingen/,cluster
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,Direct,2,1,0.5,82.9,/gevelisolatie/afwerkingen/,cluster
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,Cross-network,1,1,1.0,175.3,/gevelisolatie/afwerkingen/,cluster
/gevelisolatie/bergen-op-zoom/,/gevelisolatie/bergen-op-zoom/,Organic Search,1,1,1.0,112.6,/gevelisolatie/bergen-op-zoom/,city
/gevelisolatie/delft/,/gevelisolatie/delft/,Organic Search,3,3,1.0,478.5,/gevelisolatie/delft/,city
