landing_page_raw,normalized_path,mapped_route_guess,mapped_page_type_guess,sessions,engaged_sessions,engagement_rate,avg_session_duration_seconds,key_events,notes
/,/,/,home,312,212,0.6795,594.4,12,
/gevelisolatie/,/gevelisolatie/,/gevelisolatie/,service,222,153,0.6892,261.6,9,
(not set),(not set),,,96,1,0.0104,17.3,0,GA4 (not set) landing page
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,cluster,87,55,0.6322,197.2,3,
/onze-werken/,/onze-werken/,/onze-werken/,archive,44,28,0.6364,512.6,1,
/gevelisolatie/kosten/,/gevelisolatie/kosten/,/gevelisolatie/kosten/,cluster,42,24,0.5714,157.8,1,
/buiten-stucwerk/,/buiten-stucwerk/,/buiten-stucwerk/,service,39,21,0.5385,218.7,1,
/sierpleister/,/sierpleister/,/sierpleister/,service,26,10,0.3846,113.8,0,
/gevel-schilderen/,/gevel-schilderen/,/gevel-schilderen/,service,21,12,0.5714,508.5,0,
/over-ons/,/over-ons/,/over-ons/,utility,14,10,0.7143,501.2,2,
/gevelisolatie/rc-waarde-dikte/,/gevelisolatie/rc-waarde-dikte/,/gevelisolatie/rc-waarde-dikte/,cluster,11,7,0.6364,161.8,0,
/contact/,/contact/,/contact/,utility,10,5,0.5,558.0,0,
/diensten/,/diensten/,/diensten/,service,9,7,0.7778,601.1,1,
/gevelisolatie/materialen/,/gevelisolatie/materialen/,/gevelisolatie/materialen/,cluster,8,4,0.5,220.8,0,
/object13/,/object13/,,,6,2,0.3333,118.9,0,unmapped: not in page_inventory
/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,project,6,4,0.6667,188.4,0,
/gevelisolatie/dordrecht/,/gevelisolatie/dordrecht/,/gevelisolatie/dordrecht/,city,6,5,0.8333,210.8,0,
/object9/,/object9/,,,5,3,0.6,41.5,0,unmapped: not in page_inventory
/muren-stucen/,/muren-stucen/,/muren-stucen/,service,5,2,0.4,526.9,0,
/gevelisolatie/subsidie-vergunning/,/gevelisolatie/subsidie-vergunning/,/gevelisolatie/subsidie-vergunning/,cluster,5,3,0.6,43.1,0,
/✅️,/✅️/,,,4,1,0.25,6.8,0,unmapped: not in page_inventory
/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,project,4,4,1.0,311.1,0,
/gevelisolatie/rotterdam/,/gevelisolatie/rotterdam/,/gevelisolatie/rotterdam/,city,4,3,0.75,191.2,0,
/gevelisolatie/delft/,/gevelisolatie/delft/,/gevelisolatie/delft/,city,3,3,1.0,478.5,0,
/gevelisolatie/den-haag/,/gevelisolatie/den-haag/,/gevelisolatie/den-haag/,city,3,3,1.0,226.4,0,
/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,,,3,1,0.3333,34.8,0,unmapped: not in page_inventory
/gevelisolatie/hellevoetsluis/,/gevelisolatie/hellevoetsluis/,/gevelisolatie/hellevoetsluis/,city,3,2,0.6667,35.1,0,
/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,project,3,0,0.0,0.0,0,
/over_ons/,/over_ons/,,,3,1,0.3333,238.6,0,unmapped: not in page_inventory
/privacybeleid/,/privacybeleid/,/privacybeleid/,legal,3,3,1.0,658.7,0,
/schoonmaak-na-verbouwing/,/schoonmaak-na-verbouwing/,/schoonmaak-na-verbouwing/,service,3,3,1.0,486.6,0,
/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,project,3,2,0.6667,20.2,0,
/onze-werken/etten-leur-gevelisolatie-6cm-strikolith-2025/,/onze-werken/etten-leur-gevelisolatie-6cm-strikolith-2025/,/onze-werken/etten-leur-gevelisolatie-6cm-strikolith-2025/,project,2,1,0.5,617.0,0,
/✅️👍,/✅️👍/,,,2,1,0.5,11.7,0,unmapped: not in page_inventory
/gevelisolatie/roosendaal/,/gevelisolatie/roosendaal/,/gevelisolatie/roosendaal/,city,2,2,1.0,64.8,1,
/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,project,2,2,1.0,34.9,0,
