landing_page_raw,normalized_path,mapped_route_guess,mapped_page_type_guess,sessions,engaged_sessions,engagement_rate,avg_session_duration_seconds,key_events,notes
/onze-werken/vlaardingen-gevelisolatie-10cm-sierpleister-2025/,/onze-werken/vlaardingen-gevelisolatie-10cm-sierpleister-2025/,/onze-werken/vlaardingen-gevelisolatie-10cm-sierpleister-2025/,project,2,2,1.0,566.3,0,
/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,project,2,1,0.5,5.2,0,
//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,,,1,1,1.0,857.4,0,unmapped: not in page_inventory
/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,,,1,1,1.0,1327.8,0,unmapped: not in page_inventory
/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,,,1,0,0.0,3.5,0,unmapped: not in page_inventory
/gevelisolatie/bergen-op-zoom/,/gevelisolatie/bergen-op-zoom/,/gevelisolatie/bergen-op-zoom/,city,1,1,1.0,112.6,0,
/gevelisolatie/gouda/,/gevelisolatie/gouda/,/gevelisolatie/gouda/,city,1,1,1.0,175.8,0,
/gevelisolatie/hendrik-ido-ambacht/,/gevelisolatie/hendrik-ido-ambacht/,/gevelisolatie/hendrik-ido-ambacht/,city,1,0,0.0,5.8,0,
/gevelisolatie/leiden/,/gevelisolatie/leiden/,/gevelisolatie/leiden/,city,1,1,1.0,607.9,0,
/gevelisolatie/schiedam/,/gevelisolatie/schiedam/,/gevelisolatie/schiedam/,city,1,1,1.0,52.8,0,
/gevelisolatie/vlaardingen/,/gevelisolatie/vlaardingen/,/gevelisolatie/vlaardingen/,city,1,1,1.0,24.2,0,
/muren-stucen-2/,/muren-stucen-2/,,,1,0,0.0,0.0,0,unmapped: not in page_inventory
/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2024/,,,1,1,1.0,1019.3,0,unmapped: not in page_inventory
/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2025/,project,1,0,0.0,5.8,0,
/onze-werken/dordrecht-gevelisolatie-10cm-sierpleister-2025/,/onze-werken/dordrecht-gevelisolatie-10cm-sierpleister-2025/,/onze-werken/dordrecht-gevelisolatie-10cm-sierpleister-2025/,project,1,1,1.0,637.2,0,
/onze-werken/nieuw-/,/onze-werken/nieuw-/,,,1,1,1.0,2474.2,1,unmapped: not in page_inventory
/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2024/,/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2024/,,,1,1,1.0,31.8,0,unmapped: not in page_inventory
/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2025/,/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2025/,/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2025/,project,1,0,0.0,4.0,0,
/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,project,1,1,1.0,20.6,0,
/onze-werken/vught-gevelisolatie-10cm-sierpleister-2024/,/onze-werken/vught-gevelisolatie-10cm-sierpleister-2024/,/onze-werken/vught-gevelisolatie-10cm-sierpleister-2024/,project,1,1,1.0,11.8,0,
