normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,brand_nonbrand_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,in_gsc_queries,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,gsc_total_clicks,gsc_total_impressions,gsc_weighted_ctr,gsc_best_position_guess,gsc_distinct_pages_count,gsc_possible_cannibalization_guess,gsc_top_page_guess,gsc_top_page_clicks,gsc_top_page_impressions,gsc_top_page_route_guess,gsc_top_page_type_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,seo_opportunity_type,seo_opportunity_reason,ppc_seo_overlap_guess,ppc_seo_notes,ads_priority_guess,keep_review_pause_guess,notes
buitenmuur isoleren offerte,buitenmuur isoleren offerte,offerte,commercial,nl,NL,nonbrand,False,False,True,False,True,False,,,,,,,,,,,,0,0,0.0,0.0,"PHRASE,EXACT",Gevelisolatie - Offerte,ENABLED,,,,,,cleanup,enabled but 0 impressions,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_ads_only,"paid only, no organic signal in GSC",low,cleanup,
buitenmuur isoleren prijs,buitenmuur isoleren prijs,prijs_kosten,commercial,nl,NL,nonbrand,True,False,True,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,0,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Kosten & Prijs,PAUSED,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,none,,in_ads_only,"paid only, no organic signal in GSC",low,,
buitenmuur isoleren prijs per m2,buitenmuur isoleren prijs per m2,prijs_kosten,commercial,nl,NL,nonbrand,True,False,True,True,False,False,70,HIGH,90,0.603872,1.61177,,,,,,,2,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Kosten & Prijs,PAUSED,2,0,0.0,0.0,Gevelisolatie - Kosten & Prijs,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,low,none,,in_ads_only,"paid only, no organic signal in GSC",low,,
buitenmuur isoleren steenstrips,buitenmuur isoleren steenstrips,steenstrips,commercial_investigative,nl,NL,nonbrand,True,False,False,True,False,False,10,HIGH,97,0.470815,0.83928,,,,,,,,,,,,,,3,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/gevelisolatie/afwerkingen/,cluster,medium,keyword contains finishing signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenmuur isoleren van binnenuit,buitenmuur isoleren van binnenuit,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,140,HIGH,100,0.276169,1.295208,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,medium,none,moderate planner volume,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur isoleren van buitenaf,buitenmuur isoleren van buitenaf,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,100,0.510189,2.202096,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur isoleren vanaf de buitenkant,buitenmuur isoleren vanaf de buitenkant,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur isoleren voorzetwand,buitenmuur isoleren voorzetwand,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,40,HIGH,97,0.328883,1.478155,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,low,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur isoleren zonder spouw,buitenmuur isoleren zonder spouw,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,73,0.515501,1.295365,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur langs binnen isoleren,buitenmuur langs binnen isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,87,0.307981,2.104683,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur laten schilderen,buitenmuur laten schilderen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,0.0,62.88,1,False,https://bm-klus-bv.nl/gevel-schilderen/,0,32,/gevel-schilderen/,service,/gevel-schilderen/,service,medium,"from GSC top page (0 clicks, 32 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur laten stucen,buitenmuur laten stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,3.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur na isoleren,buitenmuur na isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,30,HIGH,95,0.706224,2.241674,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,low,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur platen,buitenmuur platen,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,20,HIGH,100,0.499279,1.531821,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,low,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur pleisteren,buitenmuur pleisteren,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,2.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stuc,buitenmuur stuc,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,47.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stuccen,buitenmuur stuccen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,5.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen,buitenmuur stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,0.0,17.58,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,131,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 131 impr)",medium,low_ctr_high_impressions,"131 impr, CTR 0.0000, pos 17.6",in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen cement,buitenmuur stucen cement,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,19.33,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen en isoleren,buitenmuur stucen en isoleren,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,48.0,2,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen hornbach,buitenmuur stucen hornbach,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,2.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen knauf,buitenmuur stucen knauf,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,2.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen kosten,buitenmuur stucen kosten,prijs_kosten,commercial,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,0.0,28.78,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,135,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 135 impr)",medium,low_ctr_high_impressions,"135 impr, CTR 0.0000, pos 28.8",in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen met cement,buitenmuur stucen met cement,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,3.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen met isolatie,buitenmuur stucen met isolatie,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,2.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen nadelen,buitenmuur stucen nadelen,stuc_crepi,informational,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1,129,0.007752,5.26,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,1,129,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (1 clicks, 129 impr)",high,striking_distance,"pos 5.3, 129 impr, CTR 0.0078",in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen prijs per m2,buitenmuur stucen prijs per m2,prijs_kosten,commercial,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0.0,27.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 6 impr)",low,weak_signal,"6 impr, pos 27.0",in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucen zelf doen,buitenmuur stucen zelf doen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,3.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur stucwerk,buitenmuur stucwerk,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0.0,60.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,7,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 7 impr)",low,weak_signal,"7 impr, pos 60.0",in_gsc_only,"organic only, no ads presence",,,
buitenmuur van binnen isoleren,buitenmuur van binnen isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,140,HIGH,100,0.276169,1.295208,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,medium,none,moderate planner volume,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuur van buiten isoleren,buitenmuur van buiten isoleren,other,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,,,,,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenmuur verven kosten,buitenmuur verven kosten,prijs_kosten,commercial,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,17.0,1,False,https://bm-klus-bv.nl/gevel-schilderen/,0,2,/gevel-schilderen/,service,/gevel-schilderen/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur zelf stucen,buitenmuur zelf stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,3.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenmuur zonder spouw isoleren,buitenmuur zonder spouw isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,83,0.29416,1.358222,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurisolatie,buitenmuurisolatie,core_isolation,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,6,1,0.74,0.0,"Gevelisolatie - Afwerking,Gevelisolatie - Core",,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenmuurisolatie aan de buitenzijde,buitenmuurisolatie aan de buitenzijde,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurisolatie bestaande woning,buitenmuurisolatie bestaande woning,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,MEDIUM,57,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurisolatie dikte,buitenmuurisolatie dikte,technical_rc_dikte,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,/gevelisolatie/rc-waarde-dikte/,cluster,medium,keyword contains rc/dikte signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenmuurisolatie langs de buitengevel,buitenmuurisolatie langs de buitengevel,core_isolation,commercial_investigative,nl,NL,nonbrand,False,False,True,True,False,False,,,,,,,,,,,,0,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Materialen,PAUSED,3,1,2.18,0.0,"Gevelisolatie - Core,Gevelisolatie - Afwerking",,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_ads_only,"paid only, no organic signal in GSC",low,,
buitenmuurisolatie met kurk,buitenmuurisolatie met kurk,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurisolatie met steenstrips,buitenmuurisolatie met steenstrips,steenstrips,commercial_investigative,nl,NL,nonbrand,True,False,False,True,False,False,20,HIGH,100,0.60656,1.581441,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/gevelisolatie/afwerkingen/,cluster,medium,keyword contains finishing signal,low,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenmuurisolatie prijs,buitenmuurisolatie prijs,prijs_kosten,commercial,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurisolatie prijs per m2,buitenmuurisolatie prijs per m2,prijs_kosten,commercial,nl,NL,nonbrand,True,False,False,False,False,False,10,MEDIUM,50,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,none,,in_planner_only,"planner demand only, no ads or organic",,,
buitenmuurtje stucen,buitenmuurtje stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,20.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenstuc,buitenstuc,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,3.5,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,4,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 4 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenstuc kant en klaar,buitenstuc kant en klaar,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,3.5,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
buitenstucwerk,buitenstucwerk,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,0.0,58.8,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,145,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 145 impr)",medium,low_ctr_high_impressions,"145 impr, CTR 0.0000, pos 58.8",in_gsc_only,"organic only, no ads presence",,,
buitenstucwerk prijs,buitenstucwerk prijs,prijs_kosten,commercial,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,182,0.0,36.62,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,182,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 182 impr)",medium,low_ctr_high_impressions,"182 impr, CTR 0.0000, pos 36.6",in_gsc_only,"organic only, no ads presence",,,
buitenwand isoleren,buitenwand isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,True,False,False,20,HIGH,100,0.510941,1.986984,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,,,,,low,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenzijde gevel isoleren,buitenzijde gevel isoleren,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,True,False,False,320,HIGH,100,0.7866,3.18701,,,,,,,,,,,,,,2,1,2.13,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,medium,none,moderate planner volume,in_ads_only,"paid only, no organic signal in GSC",expansion_candidate,,
buitenzijde huis isoleren,buitenzijde huis isoleren,core_isolation,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,2,1,0.51,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,,,,,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
buitenzijde muur isoleren,buitenzijde muur isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,100,0.408897,1.65809,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
bv bedrijf,bv bedrijf,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,6.0,1,False,https://bm-klus-bv.nl/,0,2,/,home,/,home,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
capelle aan den ijssel,capelle aan den ijssel,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,10.0,1,False,https://bm-klus-bv.nl/gevelisolatie/capelle-aan-den-ijssel/,0,1,/gevelisolatie/capelle-aan-den-ijssel/,city,/gevelisolatie/capelle-aan-den-ijssel/,city,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
cement stucen buitenmuur,cement stucen buitenmuur,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0.0,16.33,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 6 impr)",low,weak_signal,"6 impr, pos 16.3",in_gsc_only,"organic only, no ads presence",,,
cementgebonden stucwerk prijzen,cementgebonden stucwerk prijzen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,29.5,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
cementstuc buiten,cementstuc buiten,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,0.0,23.07,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,42,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 42 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
crepi afwerking,crepi afwerking,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,0.0,18.7,2,False,https://bm-klus-bv.nl/gevelisolatie/,0,24,/gevelisolatie/,service,/gevelisolatie/,service,medium,"from GSC top page (0 clicks, 24 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
crepi buitengevel,crepi buitengevel,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,2,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/sierpleister/,service,medium,keyword contains sierpleister signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
crepi buitenmuur,crepi buitenmuur,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,48.0,1,False,https://bm-klus-bv.nl/gevelisolatie/,0,1,/gevelisolatie/,service,/gevelisolatie/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
crepi gevel,crepi gevel,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,6,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/sierpleister/,service,medium,keyword contains sierpleister signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
crepi gevel isolatie,crepi gevel isolatie,stuc_crepi,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,71,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/sierpleister/,service,medium,keyword contains sierpleister signal,,none,,in_planner_only,"planner demand only, no ads or organic",,,
crepi gevel isolatie prijs,crepi gevel isolatie prijs,prijs_kosten,commercial,nl,NL,nonbrand,True,False,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,none,,in_planner_only,"planner demand only, no ads or organic",,,
crepi gevel prijs per m2,crepi gevel prijs per m2,prijs_kosten,commercial,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
crepi gevelbekleding,crepi gevelbekleding,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,10,2,1.48,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/gevelisolatie/afwerkingen/,cluster,medium,keyword contains finishing signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
crepi gevelisolatie,crepi gevelisolatie,stuc_crepi,commercial_investigative,nl,NL,nonbrand,True,False,False,True,False,False,10,HIGH,81,1.05056,3.091549,,,,,,,,,,,,,,3,1,2.21,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,,,,,/sierpleister/,service,medium,keyword contains sierpleister signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
crepi isolatie,crepi isolatie,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,5,1,1.73,0.0,"Gevelisolatie - Afwerking,Gevelisolatie - Core",,,False,,,,,,,,,,,,/sierpleister/,service,medium,keyword contains sierpleister signal,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
