query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
buitenstucwerk,buitenstucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,145,0,58.8,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
buitenstucwerk prijs,buitenstucwerk prijs,https://bm-klus-bv.nl/buiten-stucwerk/,0,182,0,36.62,commercial,prijs_kosten,/buiten-stucwerk/,service,high,
bv bedrijf,bv bedrijf,https://bm-klus-bv.nl/,0,2,0,6,commercial_investigative,other,/,home,high,
capelle aan den ijssel,capelle aan den ijssel,https://bm-klus-bv.nl/gevelisolatie/capelle-aan-den-ijssel/,0,1,0,10,commercial_investigative,other,/gevelisolatie/capelle-aan-den-ijssel/,city,high,
cement stucen buitenmuur,cement stucen buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,6,0,16.33,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
cementgebonden stucwerk prijzen,cementgebonden stucwerk prijzen,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,29.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
cementstuc buiten,cementstuc buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,42,0,23.07,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
crepi afwerking,crepi afwerking,https://bm-klus-bv.nl/gevelisolatie/,0,24,0,60,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
crepi afwerking,crepi afwerking,https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,10,0,18.7,commercial_investigative,stuc_crepi,/gevelisolatie/afwerkingen/,cluster,high,
crepi buitenmuur,crepi buitenmuur,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,48,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
crepi stucwerk,crepi stucwerk,https://bm-klus-bv.nl/,0,1,0,14,commercial_investigative,stuc_crepi,/,home,high,
de gevel schilder,de gevel schilder,https://bm-klus-bv.nl/gevel-schilderen/,0,1,0,42,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
decoratieve buitenstuc,decoratieve buitenstuc,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
dikte gevelisolatie,dikte gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/rc-waarde-dikte/,0,1,0,13,commercial_investigative,technical_rc_dikte,/gevelisolatie/rc-waarde-dikte/,cluster,high,
dunne gevelisolatie,dunne gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,31,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
