query,normalized_query,total_clicks,total_impressions,weighted_ctr,best_position_guess,distinct_pages_count,possible_cannibalization_guess,query_intent_guess,query_theme_guess
bm klus bv,bm klus bv,25,214,0.116822,1.09,18,True,navigational,other
etics gevelisolatie,etics gevelisolatie,2,13,0.153846,5.23,1,False,commercial_investigative,core_isolation
gevelisolatie rotterdam,gevelisolatie rotterdam,2,413,0.004843,8,5,True,commercial_investigative,core_isolation
boris mitov,boris mitov,1,1,1.0,2,1,False,commercial_investigative,other
buitenmuur stucen nadelen,buitenmuur stucen nadelen,1,129,0.007752,4.93,1,False,informational,stuc_crepi
etics isolatie,etics isolatie,1,34,0.029412,5.18,1,False,commercial_investigative,core_isolation
etics systeem,etics systeem,1,40,0.025,7.9,1,False,commercial_investigative,core_isolation
gevel stucen,gevel stucen,1,75,0.013333,3.89,1,False,commercial_investigative,stuc_crepi
gevelisolatie leiden,gevelisolatie leiden,1,201,0.004975,6.31,1,False,commercial_investigative,core_isolation
gevelisolatie steenstrips prijs,gevelisolatie steenstrips prijs,1,10,0.1,7.8,1,False,commercial,prijs_kosten
gevelisolatie stucwerk,gevelisolatie stucwerk,1,5,0.2,4,2,False,commercial_investigative,stuc_crepi
aannemer archipelbuurt,aannemer archipelbuurt,0,1,0.0,104,1,False,commercial_investigative,other
aannemer klussen,aannemer klussen,0,2,0.0,1,1,False,commercial_investigative,other
afbouw aannemer,afbouw aannemer,0,1,0.0,8,1,False,commercial_investigative,other
afgebladderde buitenmuur verven,afgebladderde buitenmuur verven,0,2,0.0,42.5,1,False,commercial_investigative,other
afwerkingen en renovaties rotterdam,afwerkingen en renovaties rotterdam,0,1,0.0,1,1,False,commercial_investigative,other
b m,b m,0,4,0.0,1.75,1,False,commercial_investigative,other
b&m,b&m,0,2,0.0,2,2,False,commercial_investigative,other
b+m,b+m,0,1,0.0,3,1,False,commercial_investigative,other
b.m,b.m,0,1,0.0,2,1,False,commercial_investigative,other
bakstenen muur stucen,bakstenen muur stucen,0,1,0.0,3,1,False,commercial_investigative,stuc_crepi
bakstenen muur stucen buiten,bakstenen muur stucen buiten,0,1,0.0,3,1,False,commercial_investigative,stuc_crepi
beamix cementgebonden stucmortel,beamix cementgebonden stucmortel,0,1,0.0,4,1,False,commercial_investigative,stuc_crepi
behangklaar en sausklaar,behangklaar en sausklaar,0,13,0.0,25.38,1,False,commercial_investigative,other
behangklaar muren,behangklaar muren,0,5,0.0,58.2,1,False,commercial_investigative,other
behangklaar muur nieuwbouw,behangklaar muur nieuwbouw,0,1,0.0,59,1,False,commercial_investigative,other
behangklaar naar sausklaar,behangklaar naar sausklaar,0,4,0.0,24.25,1,False,commercial_investigative,other
behangklaar of sausklaar,behangklaar of sausklaar,0,17,0.0,32.18,1,False,commercial_investigative,other
behangklaar sausklaar maken,behangklaar sausklaar maken,0,3,0.0,31.33,1,False,commercial_investigative,other
behangklaar stucen,behangklaar stucen,0,114,0.0,35.61,1,False,commercial_investigative,stuc_crepi
behangklaar stucwerk,behangklaar stucwerk,0,67,0.0,38.06,1,False,commercial_investigative,stuc_crepi
behangklaar stuken,behangklaar stuken,0,2,0.0,29,1,False,commercial_investigative,other
