normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,ads_priority_guess,keep_review_pause_guess,notes
koude buitenmuur isoleren,koude buitenmuur isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,20,HIGH,79,0.511665,1.686205,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,low,,,
koude muur isoleren,koude muur isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,20,HIGH,99,0.440906,1.654306,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
koudebrug gevel oplossen,koudebrug gevel oplossen,technical_rc_dikte,commercial_investigative,nl,NL,False,False,True,False,True,,,,,,,,,,,,0,0,0.0,0.0,"PHRASE,EXACT",Gevelisolatie - Technisch,ENABLED,,,,,,cleanup,enabled but 0 impressions,False,/gevelisolatie/rc-waarde-dikte/,cluster,medium,keyword contains rc/dikte signal,,low,cleanup,
kurk gevelisolatie,kurk gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.406508,1.08211,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
kurk isolatie buitengevel,kurk isolatie buitengevel,core_isolation,commercial_investigative,nl,NL,True,False,False,True,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,4,1,0.71,0.0,Gevelisolatie - Core,,,False,,,,,,,,
kurk isolatie buitenmuur,kurk isolatie buitenmuur,other,commercial_investigative,nl,NL,True,False,False,True,False,10,HIGH,90,0.513211,1.208512,,,,,,,,,,,,,,1,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,,,,
kurk spuiten gevel,kurk spuiten gevel,other,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,7,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,
linzmeier isolatie,linzmeier isolatie,other,commercial_investigative,nl,NL,True,False,False,False,False,10,MEDIUM,57,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
metal stud voorzetwand buitenmuur,metal stud voorzetwand buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,20,HIGH,100,0.561836,1.173129,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
mijn gevel isoleren,mijn gevel isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
minerale wol buitengevelisolatie,minerale wol buitengevelisolatie,materialen,commercial_investigative,nl,NL,False,False,True,False,True,,,,,,,,,,,,0,0,0.0,0.0,"PHRASE,EXACT",Gevelisolatie - Materialen,ENABLED,,,,,,cleanup,enabled but 0 impressions,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,low,cleanup,
minimum isolatie buitenmuur,minimum isolatie buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
multipor buitengevel,multipor buitengevel,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muren isoleren langs buiten,muren isoleren langs buiten,other,commercial_investigative,nl,NL,True,False,False,True,False,10,HIGH,97,0.786339,3.014039,,,,,,,,,,,,,,2,2,3.68,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,
muur aan buitenkant isoleren,muur aan buitenkant isoleren,other,commercial_investigative,nl,NL,True,False,True,True,True,10,HIGH,100,0.44915,1.61715,,,,,,,2,1,0.7,0.0,"EXACT,PHRASE",Gevelisolatie - Core,ENABLED,2,1,0.7,0.0,Gevelisolatie - Core,cleanup,enabled but 0 impressions,False,,,,,,low,cleanup,
muur aan buitenzijde isoleren,muur aan buitenzijde isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur aan de buitenkant isoleren,muur aan de buitenkant isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.516301,1.350637,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur buitenkant isoleren,muur buitenkant isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,140,HIGH,97,0.780451,2.724446,,,,,,,,,,,,,,,,,,,,,False,,,,,medium,,,
muur impregneren isolatie,muur impregneren isolatie,other,commercial_investigative,nl,NL,True,False,False,False,False,10,MEDIUM,33,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isolatie buitenkant,muur isolatie buitenkant,other,commercial_investigative,nl,NL,True,False,False,True,False,210,HIGH,100,0.842615,3.164822,,,,,,,,,,,,,,2,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,medium,expansion_candidate,,
muur isoleren aan de binnenkant,muur isoleren aan de binnenkant,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.357563,1.44366,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren aan de buitenkant,muur isoleren aan de buitenkant,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren binnen,muur isoleren binnen,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren binnenkant,muur isoleren binnenkant,other,commercial_investigative,nl,NL,True,False,False,False,False,320,HIGH,100,0.381881,1.795283,,,,,,,,,,,,,,,,,,,,,False,,,,,medium,expansion_candidate,,
muur isoleren buitenkant,muur isoleren buitenkant,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,140,HIGH,97,0.780451,2.724446,,,,,,,,,,,,,,,,,,,,,False,,,,,medium,,,
muur isoleren langs binnen,muur isoleren langs binnen,other,commercial_investigative,nl,NL,True,False,False,False,False,50,HIGH,100,0.563298,2.398278,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
muur isoleren langs binnenkant,muur isoleren langs binnenkant,other,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren langs buitenkant,muur isoleren langs buitenkant,other,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren met voorzetwand,muur isoleren met voorzetwand,other,commercial_investigative,nl,NL,True,False,False,False,False,50,HIGH,87,0.188185,1.437125,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
muur isoleren tegen kou,muur isoleren tegen kou,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren tegen vocht,muur isoleren tegen vocht,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren van binnen,muur isoleren van binnen,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.460352,2.035574,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren van buitenaf,muur isoleren van buitenaf,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,99,0.51076,1.480158,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur isoleren voorzetwand,muur isoleren voorzetwand,other,commercial_investigative,nl,NL,True,False,False,False,False,50,HIGH,87,0.188185,1.437125,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
muur isoleren zonder spouw,muur isoleren zonder spouw,other,commercial_investigative,nl,NL,True,False,False,False,False,70,HIGH,76,0.373197,1.939888,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
muur langs buiten isoleren,muur langs buiten isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
muur van buiten isoleren,muur van buiten isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,70,HIGH,98,0.328981,1.328996,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
muur van buitenaf isoleren,muur van buitenaf isoleren,other,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,5,0,0.0,0.0,Gevelisolatie - Core,,,False,,,,,,,,
muurisolatie,muurisolatie,core_isolation,commercial_investigative,nl,NL,False,False,True,False,False,,,,,,,,,,,,0,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Materialen,PAUSED,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,low,,
muurisolatie buiten,muurisolatie buiten,core_isolation,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1,1,0.72,0.0,Gevelisolatie - Core,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
muurisolatie buitenkant prijs,muurisolatie buitenkant prijs,prijs_kosten,commercial,nl,NL,True,False,False,False,False,10,HIGH,93,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/kosten/,cluster,medium,keyword contains cost/price signal,,,,
muurisolatie buitenmuur,muurisolatie buitenmuur,core_isolation,commercial_investigative,nl,NL,True,False,True,False,True,20,HIGH,100,0.0,0.0,,,,,,,0,0,0.0,0.0,"EXACT,PHRASE","Gevelisolatie - Core,Gevelisolatie - Materialen","ENABLED,PAUSED",,,,,,cleanup,enabled but 0 impressions,False,/gevelisolatie/,service,low,broad gevelisolatie term,low,low,cleanup,
